listing_id,mean_positive,mean_negative,mean_neutral,mean_mixed,number_reviews
8921130,50.75,24.1,25.08,0.07,2
12979965,91.03,0.02,0.03,8.92,3
11787441,99.96,0.0,0.03,0.01,2
4287989,82.28,10.09,3.89,3.74,7
4461613,98.16,0.05,0.05,1.73,3
3068453,74.1,2.48,0.51,22.9,74
10051003,66.73,32.45,0.35,0.47,3
8036024,97.02,1.06,0.09,1.84,84
1658983,99.8,0.01,0.13,0.06,46
7475379,99.74,0.0,0.25,0.0,6
12891323,94.63,0.11,0.25,5.01,4
13417233,86.3,2.92,1.72,9.06,5
13685592,52.89,19.71,15.67,11.74,3
8238311,80.93,5.82,1.02,12.23,80
3289921,99.62,0.01,0.05,0.33,18
7513605,81.13,1.98,0.32,16.57,2
13586841,75.92,0.2,0.3,23.58,2
14780153,99.78,0.0,0.21,0.0,2
994317,99.6,0.02,0.28,0.11,4
14743129,99.57,0.03,0.3,0.11,1
1584362,97.51,1.17,0.34,0.98,230
4044840,73.87,1.38,0.06,24.68,5
12308161,98.84,0.01,0.06,1.09,29
10627514,99.77,0.0,0.23,0.0,2
2412715,99.86,0.0,0.13,0.0,2
13295184,89.55,0.02,0.08,10.35,10
4405982,99.89,0.01,0.08,0.02,18
4787359,89.03,8.0,2.53,0.44,18
14109809,99.95,0.0,0.04,0.01,3
7395978,67.51,23.25,9.07,0.17,3
4160585,99.76,0.01,0.2,0.02,34
7868931,57.85,6.73,3.85,31.56,2
2441095,73.75,4.69,2.17,19.4,74
5163162,96.07,1.49,0.11,2.32,68
7918592,88.18,9.44,2.36,0.02,17
14407094,85.57,0.06,14.29,0.08,1
12493396,99.96,0.0,0.03,0.01,3
13376457,78.91,0.02,0.04,21.03,9
7053454,83.22,0.04,0.06,16.68,8
3897995,94.52,1.36,0.66,3.46,80
13866603,99.55,0.0,0.43,0.01,1
10127270,99.74,0.0,0.25,0.01,1
6134145,94.37,0.04,0.75,4.84,75
4759640,99.93,0.0,0.04,0.02,1
4053612,93.28,0.05,0.14,6.53,30
7531700,50.32,0.01,0.02,49.65,2
10264774,89.4,0.04,0.04,10.52,10
1937433,99.46,0.01,0.37,0.17,10
13236820,87.88,0.15,0.11,11.86,4
12812461,99.97,0.0,0.02,0.01,2
4358181,77.78,0.01,0.03,22.18,4
8801250,99.92,0.0,0.05,0.02,4
8097903,99.73,0.01,0.25,0.01,1
14414330,99.97,0.01,0.02,0.01,1
12843196,99.88,0.01,0.11,0.0,2
22354,91.18,2.29,0.31,6.22,215
5215982,81.83,3.88,2.61,11.68,20
6626933,98.41,0.07,0.2,1.32,50
14693220,99.92,0.01,0.05,0.02,1
12585455,91.68,1.78,1.17,5.37,36
9232355,72.63,15.46,1.89,10.02,36
14055887,99.31,0.0,0.68,0.01,1
14418593,98.41,0.1,0.8,0.69,2
8782991,84.93,8.86,3.58,2.63,24
13032590,99.87,0.0,0.06,0.07,18
9900315,99.73,0.01,0.05,0.21,11
