listing_id,mean_positive,mean_negative,mean_neutral,mean_mixed,number_reviews
13374823,99.92,0.0,0.07,0.0,1
8634599,77.37,4.93,5.05,12.65,15
5067019,99.96,0.0,0.03,0.01,3
13434817,91.45,6.22,0.1,2.23,11
6629066,81.53,0.04,0.06,18.37,10
14565726,2.69,71.97,22.31,3.03,1
10705351,92.7,5.17,1.79,0.34,14
801722,97.85,0.02,0.17,1.96,14
2186358,98.55,0.03,0.06,1.36,9
11020786,94.97,0.12,0.11,4.81,28
54944,72.41,15.8,11.33,0.46,7
6684904,99.94,0.0,0.05,0.0,2
5280827,57.63,0.11,0.14,42.12,6
11470818,87.78,9.0,2.82,0.4,8
13564762,99.88,0.01,0.07,0.04,2
10749312,99.82,0.01,0.14,0.02,3
7454907,99.96,0.0,0.03,0.01,2
3987926,98.47,0.03,0.81,0.68,169
8015793,99.95,0.0,0.04,0.0,1
11788394,99.94,0.0,0.05,0.01,4
197972,97.7,0.03,0.27,2.0,230
9383459,93.15,1.49,1.36,4.01,41
13530359,99.97,0.0,0.01,0.01,1
2108738,80.3,4.27,2.81,12.62,34
8552338,11.76,1.1,0.09,87.06,1
3601254,68.47,11.67,1.48,18.38,44
4977034,97.84,0.01,0.06,2.09,34
10857914,99.94,0.0,0.05,0.01,8
6911945,99.77,0.01,0.05,0.17,8
14300751,99.89,0.0,0.08,0.02,2
6886946,98.0,0.01,0.06,1.93,24
2634361,77.31,0.57,0.55,21.58,49
1175376,80.24,1.28,1.78,16.7,49
2660908,68.63,10.1,15.61,5.66,15
12797493,38.7,39.7,21.46,0.14,8
705900,88.39,3.65,3.96,4.0,25
2634499,74.34,8.92,1.57,15.16,41
14274311,96.8,0.17,1.92,1.11,5
3727560,89.36,2.91,0.81,6.92,91
13248823,99.98,0.0,0.01,0.0,1
5791960,91.26,2.1,2.36,4.28,23
14591627,99.87,0.01,0.09,0.04,4
10164810,99.59,0.0,0.4,0.01,6
4573388,89.7,0.08,0.16,10.06,47
13753007,65.49,0.22,0.16,34.13,3
11147761,99.94,0.0,0.05,0.01,13
4583526,97.62,0.64,0.26,1.48,75
6575654,85.22,0.48,6.29,8.0,5
2473997,93.35,3.56,2.08,1.01,31
3749523,94.76,0.88,0.29,4.07,112
6887053,2.69,71.97,22.31,3.03,1
7634067,99.55,0.01,0.44,0.01,9
10860611,99.95,0.0,0.04,0.0,1
13375092,92.19,0.01,0.25,7.55,8
1094599,98.82,0.12,0.07,0.99,19
3602379,95.43,0.03,0.1,4.44,81
6993585,99.97,0.0,0.02,0.0,1
9340410,97.11,0.05,0.08,2.76,10
91588,75.82,19.45,4.16,0.58,8
5844314,88.19,1.05,2.48,8.28,46
4503393,58.58,0.82,0.6,40.0,3
9237653,96.85,0.0,0.08,3.06,32
9180947,99.89,0.01,0.08,0.02,46
4364989,98.84,0.01,0.06,1.1,31
14679817,99.56,0.01,0.01,0.43,2
7106162,99.97,0.0,0.02,0.01,1
7554801,99.38,0.01,0.59,0.02,6
7596262,83.71,0.01,0.05,16.23,8
7222349,99.91,0.01,0.07,0.02,21
13062783,75.25,1.5,0.04,23.2,4
13586491,99.95,0.0,0.04,0.01,2
6844012,99.97,0.0,0.02,0.01,1
6197950,88.8,0.27,0.05,10.88,8
4409819,92.16,0.01,0.02,7.82,2
13393418,94.56,3.43,0.25,1.76,30
12874603,63.37,9.94,0.22,26.46,10
10295349,72.68,19.06,1.62,6.64,5
3539510,90.98,0.08,0.14,8.81,12
10611728,99.95,0.0,0.04,0.01,2
14217967,99.93,0.01,0.01,0.05,4
13156872,99.6,0.01,0.16,0.22,6
11740527,99.88,0.01,0.1,0.01,14
11410652,99.98,0.0,0.02,0.0,1
8014683,99.96,0.0,0.03,0.01,2
2658094,87.94,3.19,0.42,8.45,68
12154934,70.99,7.32,0.17,21.52,31
7513906,99.97,0.0,0.01,0.02,1
1301500,99.94,0.0,0.04,0.01,13
705919,92.41,2.21,2.23,3.15,30
225979,98.13,0.29,0.38,1.2,70
9791506,98.31,1.38,0.22,0.09,2
13294558,92.87,0.03,0.06,7.05,10
11714059,41.45,32.37,16.63,9.55,4
12593295,88.98,0.23,0.08,10.72,9
11553697,99.94,0.0,0.05,0.01,3
12368082,99.67,0.01,0.32,0.0,1
9813223,95.39,0.06,0.05,4.49,8
716245,94.69,0.03,0.2,5.07,86
13218729,5.82,0.6,0.02,93.56,1
10208321,99.3,0.01,0.08,0.61,2
11896394,47.69,7.1,5.29,39.92,9
4020650,79.54,3.26,0.4,16.81,67
8422876,97.95,0.01,0.13,1.91,32
1551205,91.16,3.88,3.28,1.68,40
14603013,99.97,0.0,0.02,0.0,1
12356962,94.81,0.01,0.07,5.11,15
5718921,79.65,0.01,2.9,17.44,5
1030500,91.59,2.86,4.41,1.14,14
14673441,99.9,0.0,0.08,0.01,1
6881541,80.94,2.82,1.59,14.65,24
10656206,99.96,0.0,0.04,0.0,3
11758169,92.16,0.51,0.42,6.91,28
13391054,99.91,0.0,0.09,0.01,5
8814039,99.97,0.0,0.03,0.0,4
9507164,0.26,37.2,0.04,62.5,1
13433317,99.65,0.02,0.32,0.01,4
11454728,50.94,17.79,4.12,27.15,11
13713713,99.59,0.01,0.39,0.01,8
7740592,99.97,0.0,0.01,0.02,1
93505,97.69,0.1,0.21,2.0,166
9723217,8.4,0.44,0.46,90.7,1
11924459,98.22,0.03,0.07,1.68,41
6983246,85.51,2.55,5.23,6.71,28
8301926,97.74,0.02,0.09,2.16,11
13591607,99.92,0.01,0.07,0.01,23
7678756,99.95,0.0,0.02,0.03,1
7330494,99.09,0.02,0.05,0.83,77
6914622,99.91,0.02,0.06,0.02,7
1038465,92.5,1.5,0.56,5.43,162
7804358,99.94,0.0,0.04,0.01,19
6655012,91.97,6.95,0.24,0.84,14
10328539,96.39,0.01,0.22,3.38,25
2794782,97.7,1.9,0.13,0.27,40
6377998,94.51,3.71,1.75,0.03,19
11067772,93.27,0.08,0.12,6.54,15
12855005,99.82,0.0,0.16,0.02,7
9344096,99.77,0.0,0.22,0.0,3
9885963,99.76,0.01,0.21,0.02,16
6425405,99.9,0.01,0.05,0.04,3
13101775,99.93,0.0,0.05,0.01,10
7462268,93.29,1.94,1.3,3.47,32
