,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_sentiment_positive,reviews_sentiment_negative,reviews_sentiment_neutral,reviews_sentiment_mixed,number_sentiment_reviews,occupation_percentage_categoric
0,"Boston, Massachusetts, United States",within an hour,100%,100%,f,1,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio']",t,t,Roslindale,Boston,02131,42.286240821867416,-71.13437396457161,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",,$65.00,$95.00,$10.00,0,$0.00,2,15,36,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,t,moderate,f,f,94.51,2.87,0.73,1.88,36,1
1,"Boston, Massachusetts, United States",within a few hours,100%,88%,t,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Boston,02131,42.2924378866568,-71.13576525374667,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$65.00,,,1,$20.00,3,45,41,98.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,moderate,t,f,97.44,1.28,1.19,0.09,41,1
2,"Boston, Massachusetts, United States",within a few hours,100%,50%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,,42.28110618827366,-71.12102117350553,House,Private room,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$75.00,$100.00,$50.00,2,$25.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,99.95,0.0,0.04,0.0,1,3
3,"Boston, Massachusetts, United States",within an hour,100%,100%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28451220982457,-71.1362580468337,House,Private room,2,1.5,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",,$79.00,,$15.00,1,$0.00,2,31,29,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,99.6,0.01,0.37,0.01,29,1
4,"Boston, Massachusetts, United States",within a few hours,100%,95%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.29168980076903,-71.13189277475922,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",,$75.00,,$30.00,1,$0.00,2,1125,8,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,99.94,0.0,0.04,0.02,8,3
5,"Milton, Massachusetts, United States",within an hour,98%,96%,f,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,Boston,02131,42.28138962623448,-71.13119041987277,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",,$100.00,,,1,$25.00,1,1125,57,90.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,87.92,1.34,1.73,9.01,57,1
6,"Boston, Massachusetts, United States",within a few hours,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28194609607024,-71.14102161135577,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$75.00,,$10.00,1,$15.00,1,1125,67,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,t,t,99.61,0.02,0.13,0.23,67,1
7,"Boston, Massachusetts, United States",within an hour,100%,100%,t,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Roslindale,02131,42.28587763920193,-71.12490955692161,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",12.0,$58.00,,,2,$0.00,2,1125,65,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,95.65,0.15,0.14,4.06,65,1
8,"Boston, Massachusetts, United States",within an hour,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28882028358453,-71.13951010210121,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$229.00,$200.00,$50.00,4,$25.00,4,10,33,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,93.63,0.16,0.09,6.11,33,3
9,"Boston, Massachusetts, United States",within a day,83%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,02131,42.28644819778879,-71.13932538848039,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",,$60.00,,$30.00,1,$10.00,1,1125,1,80.0,10.0,8.0,8.0,10.0,10.0,10.0,f,f,flexible,f,f,99.97,0.0,0.02,0.0,1,1
10,"Roslindale (part of Boston), MA",within an hour,100%,89%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.281941832424685,-71.13337190191741,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$57.00,,$40.00,1,$0.00,1,1125,17,94.0,9.0,10.0,10.0,10.0,9.0,9.0,f,f,flexible,f,f,95.55,0.03,0.18,4.24,17,1
11,"Boston, Massachusetts, United States",within a few hours,100%,100%,f,2,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,02131,42.29172341146307,-71.13155602161845,Condominium,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$93.00,,$40.00,1,$0.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,flexible,f,f,99.97,0.01,0.02,0.01,1,3
12,"Boston, Massachusetts, United States",within an hour,100%,97%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28764103470109,-71.12988286590424,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$150.00,,$50.00,5,$30.00,2,21,12,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,99.94,0.0,0.05,0.01,12,2
13,"Boston, Massachusetts, United States",within a day,75%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.286264736208935,-71.13706513072117,House,Entire home/apt,2,1.5,2.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,$145.00,$500.00,$150.00,2,$35.00,3,1125,7,91.0,9.0,9.0,10.0,9.0,9.0,9.0,f,f,moderate,f,f,99.87,0.0,0.09,0.04,7,1
14,"Boston, Massachusetts, United States",within an hour,100%,79%,f,2,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,Boston,02131,42.2814520694321,-71.12925004404066,Apartment,Private room,1,0.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,$60.00,,,1,$0.00,1,365,70,96.0,9.0,10.0,10.0,10.0,9.0,10.0,f,t,strict,f,f,98.13,0.29,0.38,1.2,70,1
15,"Boston, Massachusetts, United States",within a few hours,100%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,02131,42.27440801253166,-71.12529404441553,House,Private room,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",,$165.00,,$50.00,3,$15.00,3,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,99.57,0.01,0.43,0.0,1,1
16,"Boston, Massachusetts, United States",within a few hours,100%,100%,f,2,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,02131,42.29181491557826,-71.1315879343071,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$75.00,,$20.00,1,$15.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,flexible,f,f,99.92,0.0,0.08,0.0,1,3
17,"Boston, Massachusetts, United States",within a day,100%,100%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28280175042395,-71.11514509094087,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,$49.00,,,1,$10.00,5,1125,4,95.0,9.0,10.0,10.0,10.0,9.0,10.0,f,f,strict,f,f,99.85,0.01,0.12,0.02,4,1
18,"Boston, Massachusetts, United States",within a few hours,100%,94%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.27964781834151,-71.1360587290911,Villa,Private room,1,2.5,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$40.00,,,1,$0.00,2,1125,31,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,96.59,1.93,1.47,0.01,31,1
19,"Boston, Massachusetts, United States",within an hour,100%,100%,f,1,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t,Roslindale,Roslindale,02131,42.29403534422037,-71.13223724631055,House,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$120.00,$150.00,$50.00,3,$0.00,2,6,16,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,moderate,f,f,97.14,0.07,0.23,2.56,16,2
20,"Boston, Massachusetts, United States",within an hour,100%,79%,f,2,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,Boston,02131,42.28052812623618,-71.13084254103526,Apartment,Private room,2,0.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$70.00,,,1,$10.00,1,365,38,98.0,9.0,10.0,10.0,10.0,9.0,9.0,f,t,strict,f,f,97.58,0.63,0.35,1.44,38,1
21,"Boston, Massachusetts, United States",within a day,100%,63%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.27838291101699,-71.12878009724983,House,Entire home/apt,8,1.0,3.0,5.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Shampoo}",,$150.00,$150.00,$100.00,6,$0.00,3,1125,21,88.0,9.0,9.0,9.0,10.0,9.0,10.0,f,f,flexible,f,f,85.27,9.96,0.5,4.28,21,3
22,"Boston, Massachusetts, United States",,,,f,1,"['email', 'reviews']",t,f,Roslindale,Boston,02131,42.27683095063724,-71.12955973831468,House,Entire home/apt,5,3.5,4.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,$175.00,$500.00,$100.00,1,$0.00,14,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,99.98,0.0,0.01,0.0,1,3
23,"Boston, Massachusetts, United States",within an hour,100%,92%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Roslindale,02131,42.290903928902345,-71.13023771355206,House,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$95.00,,$10.00,1,$0.00,1,1125,40,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,98.4,0.01,0.12,1.47,40,3
24,"Boston Massachusetts, Roslindale Neighborhood",within an hour,100%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,Roslindale,02131,42.29151999170097,-71.13185776978565,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$90.00,,,1,$0.00,1,1125,43,95.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,99.59,0.01,0.19,0.21,43,2
25,"Boston, Massachusetts, United States",within a few hours,100%,100%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28907107085577,-71.12823296377442,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",,$95.00,,$15.00,1,$0.00,2,1125,33,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,99.26,0.03,0.2,0.51,32,3
26,"Boston, Massachusetts, United States",within a day,60%,100%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Boston,02131,42.292238240224194,-71.13449706289937,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly""}",,$100.00,,,1,$100.00,1,30,11,90.0,9.0,8.0,10.0,9.0,9.0,9.0,f,f,flexible,f,f,99.95,0.0,0.04,0.01,11,1
27,"Roslindale (part of Boston), MA",within an hour,100%,89%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28208581195228,-71.1333486774579,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,$67.00,,$40.00,1,$5.00,1,1125,20,96.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,99.8,0.01,0.13,0.06,19,1
28,"Boston, Massachusetts, United States",within a few hours,95%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.284561507299415,-71.11972634316602,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}",,$55.00,,,1,$0.00,1,4,30,92.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,flexible,f,f,91.11,2.36,1.34,5.19,30,2
29,"Boston, Massachusetts, United States",within an hour,100%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.27696861949929,-71.11775586431585,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",,$200.00,$200.00,$85.00,4,$20.00,2,1125,2,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,t,strict,f,f,99.9,0.0,0.08,0.01,2,1
30,"Boston, Massachusetts, United States",within a day,100%,100%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28228162657036,-71.11681747458199,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,$49.00,,,1,$10.00,5,1125,10,98.0,9.0,9.0,10.0,10.0,9.0,10.0,f,f,strict,f,f,98.26,0.02,0.18,1.53,10,1
31,"Boston, Massachusetts, United States",within a few hours,100%,71%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,02131,42.27691292292999,-71.12823284429416,House,Private room,1,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,Washer,Dryer}",,$75.00,,,1,$0.00,1,1125,17,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,99.8,0.01,0.17,0.02,17,1
32,"Boston, Massachusetts, United States",within an hour,100%,95%,f,2,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Boston,02131,42.28967076428995,-71.1372864086912,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Laptop Friendly Workspace""}",,$110.00,,$25.00,2,$20.00,3,1125,55,87.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,87.65,4.04,0.61,7.7,55,1
33,"Milton, Massachusetts, United States",within an hour,98%,96%,f,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,Boston,02131,42.27917609759368,-71.13277179664853,House,Entire home/apt,16,1.0,3.0,5.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$125.00,$250.00,$50.00,1,$25.00,1,1125,24,91.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,89.98,4.11,0.39,5.52,24,1
34,"Milton, Massachusetts, United States",within an hour,98%,96%,f,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,"Roslindale, Boston",02131,42.28214228250037,-71.12904915306451,House,Entire home/apt,16,2.5,3.0,7.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$200.00,$250.00,$50.00,1,$25.00,1,1125,82,95.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict,f,f,96.0,0.21,0.22,3.57,82,1
35,"Boston, Massachusetts, United States",within a few hours,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.281748516890026,-71.14031783726143,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$75.00,,$10.00,1,$15.00,1,1125,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,t,t,94.99,2.61,2.37,0.03,20,1
36,US,within a few hours,100%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.27563719947966,-71.12480041713683,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Family/Kid Friendly"",""translation missing: en.hosting_amenity_49""}",,$78.00,$500.00,$25.00,1,$0.00,3,1125,21,95.0,9.0,9.0,10.0,10.0,9.0,9.0,f,t,flexible,f,f,95.81,0.13,1.13,2.94,21,1
37,"Upton, Massachusetts, United States",within a few hours,100%,100%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Boston,02131,42.28759769917666,-71.13448153404433,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace""}",,$50.00,,$10.00,1,$0.00,2,15,10,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,80.4,6.47,12.24,0.88,10,3
38,"Boston, Massachusetts, United States",within a few hours,100%,71%,t,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Boston,02131,42.28997231000651,-71.13614631892551,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,$60.00,,,1,$10.00,1,1125,143,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,97.33,0.55,0.69,1.44,143,1
39,"Boston, Massachusetts, United States",within a few hours,100%,94%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.27896822197632,-71.13671455617597,House,Private room,1,1.5,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$45.00,,,1,$0.00,2,1125,2,100.0,9.0,10.0,10.0,9.0,7.0,9.0,f,f,flexible,f,f,99.96,0.0,0.03,0.01,2,1
