,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_sentiment_positive,reviews_sentiment_negative,reviews_sentiment_neutral,reviews_sentiment_mixed,number_sentiment_reviews,occupation_percentage_categoric
2043,"Boston, Massachusetts, United States",within an hour,99%,93%,f,24,"['email', 'phone', 'reviews', 'kba']",t,t,Brighton,Boston,02135,42.35964213737687,-71.14056890415276,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$79.00,,$30.00,1,$20.00,2,90,16,93.0,10.0,9.0,10.0,10.0,9.0,10.0,f,t,strict,f,f,99.89,0.0,0.1,0.01,16,3
2044,"Boston, Massachusetts, United States",within an hour,100%,95%,t,3,"['email', 'phone', 'google', 'linkedin', 'amex', 'reviews', 'jumio']",t,t,Brighton,Boston,02135,42.33717041572977,-71.14965431332847,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",,$150.00,,$10.00,2,$0.00,3,10,14,96.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,moderate,f,f,94.01,0.02,0.4,5.58,14,3
2045,"Boston, Massachusetts, United States",within an hour,100%,100%,f,2,"['email', 'phone', 'reviews', 'jumio']",t,t,Brighton,Brighton,02135,42.355679628368215,-71.162144870875,Townhouse,Private room,1,1.5,1.0,1.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,$59.00,,$20.00,1,$0.00,1,1125,90,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,98.52,0.05,0.34,1.09,90,1
2046,"Boston, Massachusetts, United States",within an hour,100%,86%,f,2,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t,Brighton,Boston,02135,42.345913542888006,-71.15091592034777,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$79.00,,,1,$20.00,1,1125,2,90.0,8.0,10.0,10.0,10.0,10.0,8.0,f,t,moderate,f,f,99.78,0.0,0.21,0.0,2,1
2047,"Boston, Massachusetts, United States",within an hour,100%,92%,f,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Brighton,Boston,02135,42.338515129250105,-71.1524077339656,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$175.00,,$50.00,3,$25.00,2,1125,6,93.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict,f,f,99.89,0.0,0.1,0.01,6,1
2048,"Montreal, Quebec, Canada",within a few hours,71%,98%,f,363,"['email', 'phone', 'reviews', 'manual_offline', 'jumio']",t,t,Brighton,Boston,02135,42.34152067079311,-71.14936702092622,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$239.00,$400.00,$95.00,2,$10.00,3,1125,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,strict,f,f,85.69,7.36,6.91,0.03,7,3
2049,"Boston, Massachusetts, United States",within an hour,99%,93%,f,24,"['email', 'phone', 'reviews', 'kba']",t,t,Brighton,Boston,02135,42.36090845414096,-71.1419871429175,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$120.00,,$25.00,1,$20.00,2,90,17,95.0,10.0,10.0,10.0,10.0,9.0,10.0,f,t,strict,f,f,96.73,0.28,0.24,2.75,17,2
2050,"Massachusetts, United States",within a day,100%,0%,t,1,"['email', 'phone', 'reviews']",t,f,Brighton,Boston,02135,42.34106535359011,-71.15362521108493,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$194.00,$300.00,$95.00,6,$50.00,1,1125,13,98.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,99.94,0.0,0.05,0.01,13,2
2051,"Boston, Massachusetts, United States",within a day,100%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Brighton,Boston,02135,42.339250930873874,-71.15959684318334,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Fire Extinguisher""}",,$250.00,$500.00,$100.00,1,$0.00,1,1125,1,80.0,10.0,8.0,10.0,10.0,10.0,8.0,f,f,moderate,f,f,99.91,0.0,0.08,0.0,1,2
2052,US,within an hour,100%,100%,f,4,"['email', 'phone', 'reviews']",t,f,Brighton,Boston,02135,42.3414054603102,-71.14994272534629,Apartment,Private room,1,3.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door"",""Laptop Friendly Workspace""}",,$38.00,,$10.00,1,$0.00,2,1125,5,60.0,7.0,6.0,6.0,7.0,8.0,6.0,f,t,flexible,f,f,59.88,39.66,0.15,0.31,5,3
